Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Parallelism Type,Latency,Throughput
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,1,Tensor Parallelism,1.5100929021835328,169.5259938178866
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,Tensor Parallelism,3.431999921798706,1193.4732206675844
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,32,Tensor Parallelism,2.1091787815093994,3883.9761104260347
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,64,Tensor Parallelism,2.6790168285369873,6115.676402431302
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,1,Tensor Parallelism,3.0554789900779724,167.567835243709
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,Tensor Parallelism,3.9291667342185974,2084.9204307511177
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,32,Tensor Parallelism,4.781521677970886,3426.524253875768
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,64,Tensor Parallelism,6.469397127628326,5065.077835469456
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,1,Tensor Parallelism,6.20258367061615,165.0924928028062
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,Tensor Parallelism,9.068403959274292,1806.7126336210486
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,32,Tensor Parallelism,11.858430564403534,2763.2661693329396
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,64,Tensor Parallelism,23.7696972489357,2757.1238839793978
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,Tensor Parallelism,12.805031418800354,159.93713197713245
