Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,13.976857989095151,146.5279250599716,222122.2711864407
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,25.050500875338912,1308.0776373720582,292973.44
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,46.060668136924505,1422.8191350846496,320684.7988826816
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,88.27552396524698,1484.8056869263273,344362.07100591715

Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,14.935714729130268,137.12099066846991,228750.07936507938
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,19.914405192248523,1645.442064860396,264290.84810126584
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,26.35549126006663,2486.616521517813,279176.93
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,36.16201884392649,3624.576397841624,315763.1818181818

Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,7.838529322932785,261.2735011411224,367078.0625
Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,13.168710388265511,2488.3226249093605,494784.64814814815
Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,18.988406570702015,3451.3691159909204,550265.1923076923
Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,32.64119966746366,4015.5386853213895,594583.7313432836

Nvidia H100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,8.097759872433327,252.90945054716576,363271.0
Nvidia H100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,11.024687729899984,2972.23838015204,404201.14
Nvidia H100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,13.05667387020006,5019.348775309177,435175.5593220339
Nvidia H100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,18.808667415499894,6968.70209380096,455476.9036144578

Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,7.188259768486023,284.9090135805353,412886.5
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,11.6332617521286,2816.7508561392306,448543.3743961353
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,15.931466126441956,4113.620145180978,451684.979368932
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,32.58724129199982,4022.1876661949364,449306.38586956525

Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,7.728985404968261,264.976564541515,413887.724137931
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,10.157163405418396,3226.09755224768,449584.25386313465
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,12.492752647399902,5245.921523439425,447987.1117196057
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,17.48319275379181,7497.028823386547,448685.6001094092


Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,12.791291356086731,160.10893216230744,233501.28301886792
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,22.855718314647675,1433.6893528741027,290998.6666666667
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,44.93795162439346,1458.3664281757203,310957.43783783785
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,90.71978312730789,1444.8006320304523,333755.0474683544

Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,14.86092209815979,137.81109856255833,232529.62068965516
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,20.199362337589264,1622.2294274617566,252910.54430379748
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,24.299935698509216,2696.9618690810194,269945.902173913
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,33.70355051755905,3888.9671262294287,296434.0916666667



Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,1,15.762361764907837,129.9297675402627,226980.9393939394
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,16,26.02431893348694,1259.1299731512124,339493.68224299065
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,32,44.74606513977051,1464.6204039458949,363619.4419889503
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,64,90.92198419570923,1441.58754518454,377510.97547683923


Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,1,16.97091317176819,120.67706547499944,228223.8309859155
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,16,25.904682874679565,1264.945035556832,317268.88679245283
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,32,37.38938355445862,1752.797018023715,354072.8486842105
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,64,59.13482189178467,2216.4943734819844,381672.82773109246


Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,6.169153308868408,331.974243054702,409966.3888888889
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,8.858555221557618,3699.023055165686,445911.0606060606
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,9.997670912742615,6555.126746217516,493791.14545454545
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,12.52199673652649,10467.340214014335,552194.0962962963

Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,5.529353046417237,370.386911960163,411316.75757575757
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,9.83061203956604,3333.261435617238,522206.2660550459
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,13.57693121433258,4827.011271208067,593095.6849315069
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,21.23245747089386,6173.190276239938,656159.3587443946
