Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,128,1,0.20874103065883887,1226.4
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,128,16,0.5878638268557322,6967.6
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,256,1,0.38283236129804094,1337.4
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,256,16,0.888166097468423,9223.5
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,512,1,0.7771706132361871,1317.6
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,512,16,2.106833320474243,7776.6
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,1024,1,1.4856728327892637,1378.5
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,1024,16,3.6948334573664385,8868.6
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,2048,1,3.1779036387617348,1288.9
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,2048,16,11.937340619307832,5490.0
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,128,1,0.21961053444282405,1165.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,128,16,0.554915800739707,7381.3
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,256,1,0.40122247472768596,1276.1
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,256,16,0.8360292691887699,9798.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,512,1,0.8264062626099589,1239.1
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,512,16,1.9934298576469156,8219.0
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,1024,1,1.5842809623269125,1292.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,1024,16,3.5425630824450263,9249.8
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,2048,1,3.2881111021915386,1245.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,2048,16,9.03957295962703,7249.9
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,128,1,0.37317784256559766,686.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,128,16,1.6357827476038338,2504.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,256,1,0.687248322147651,745.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,256,16,2.750839489590329,2978.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,512,1,1.3161953727506426,778.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,512,16,4.981453329279416,3289.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,1024,1,1.7109440267335003,1197.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,1024,16,7.90352146647371,4146.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,2048,1,5.0257668711656445,815.0
SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,2048,16,19.76357056694813,3316.0
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,128,1,1.633694958519464,156.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,128,16,3.900952380952381,1050.0
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,256,1,3.078773301262778,166.3
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,256,16,4.426433241476198,1850.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,512,1,6.131736526946108,167.0
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,512,16,11.47258595336461,1428.1
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,1024,1,11.8931475029036,172.2
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,1024,16,17.81741069001142,1839.1
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,2048,1,23.855562026790917,171.7
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-70B,2048,16,42.00217906812792,1560.3
