model_name,tp_size,precision,max_input_length,max_output_len,batch_size,int8_kv_cache,latency,throughput


meta-llama/Meta-Llama-3-8B,1,float16,128,128,1,False,1.779326856136322,143.874633891541
meta-llama/Meta-Llama-3-8B,1,float16,128,128,1,False,1.784022569656372,143.49594245845736
meta-llama/Meta-Llama-3-8B,1,float16,128,256,1,False,3.5661131739616394,107.6802617493515
meta-llama/Meta-Llama-3-8B,1,float16,128,512,1,False,7.153461456298828,89.4671766822007
meta-llama/Meta-Llama-3-8B,1,float16,128,1024,1,False,14.41569310426712,79.91291099690531
meta-llama/Meta-Llama-3-8B,1,float16,128,2048,1,False,29.328796207904816,74.19329400957533
meta-llama/Meta-Llama-3-8B,1,float16,128,4096,1,False,60.19276350736618,70.17454846516694

meta-llama/Meta-Llama-3-8B,1,float16,256,128,1,False,1.7984979748725891,213.51149979871605
meta-llama/Meta-Llama-3-8B,1,float16,256,256,1,False,3.581385850906372,142.96141809752885
meta-llama/Meta-Llama-3-8B,1,float16,256,512,1,False,7.201909124851227,106.6383908330508
meta-llama/Meta-Llama-3-8B,1,float16,256,1024,1,False,14.50618451833725,88.2382268322834
meta-llama/Meta-Llama-3-8B,1,float16,256,2048,1,False,29.431383848190308,78.2837807384198
meta-llama/Meta-Llama-3-8B,1,float16,256,4096,1,False,60.498036086559296,71.93621944641725

meta-llama/Meta-Llama-3-8B,1,float16,512,128,1,False,1.8265631794929504,350.38481405152515
meta-llama/Meta-Llama-3-8B,1,float16,512,256,1,False,3.6309249997138977,211.51634915634867
meta-llama/Meta-Llama-3-8B,1,float16,512,512,1,False,7.274572730064392,140.7642810096609
meta-llama/Meta-Llama-3-8B,1,float16,512,1024,1,False,14.640669882297516,104.91323227342383
meta-llama/Meta-Llama-3-8B,1,float16,512,2048,1,False,29.6168532371521,86.43727203228579
meta-llama/Meta-Llama-3-8B,1,float16,512,4096,1,False,60.96831339597702,75.58024395511748

meta-llama/Meta-Llama-3-8B,1,float16,1024,128,1,False,1.8887459635734558,609.928504000849
meta-llama/Meta-Llama-3-8B,1,float16,1024,256,1,False,3.7220482230186462,343.8966728276018
meta-llama/Meta-Llama-3-8B,1,float16,1024,512,1,False,7.406492352485657,207.38561884621544
meta-llama/Meta-Llama-3-8B,1,float16,1024,1024,1,False,14.832469284534454,138.0754586921958
meta-llama/Meta-Llama-3-8B,1,float16,1024,2048,1,False,30.05390590429306,102.21633120775756
meta-llama/Meta-Llama-3-8B,1,float16,1024,4096,1,False,61.85384440422058,82.77577649887576

meta-llama/Meta-Llama-3-8B,1,float16,2048,128,1,False,2.007661998271942,1083.8477800909475
meta-llama/Meta-Llama-3-8B,1,float16,2048,256,1,False,3.885818064212799,592.9253407973828
meta-llama/Meta-Llama-3-8B,1,float16,2048,512,1,False,7.688343346118927,332.97160191113045
meta-llama/Meta-Llama-3-8B,1,float16,2048,1024,1,False,15.326763570308685,200.43370447438363
meta-llama/Meta-Llama-3-8B,1,float16,2048,2048,1,False,30.933376669883728,132.413607596477
meta-llama/Meta-Llama-3-8B,1,float16,2048,4096,1,False,63.5573987364769,96.66852517791658

meta-llama/Meta-Llama-3-8B,1,float16,4096,128,1,False,2.2486148476600647,1878.4897753368232
meta-llama/Meta-Llama-3-8B,1,float16,4096,256,1,False,4.245679795742035,1025.0419742827976
meta-llama/Meta-Llama-3-8B,1,float16,4096,512,1,False,8.223878800868988,560.3195416149724
meta-llama/Meta-Llama-3-8B,1,float16,4096,1024,1,False,16.334688544273376,313.4433807000852
meta-llama/Meta-Llama-3-8B,1,float16,4096,2048,1,False,32.74780523777008,187.61562661652033
meta-llama/Meta-Llama-3-8B,1,float16,4096,4096,1,False,66.90571576356888,122.44095898994419
