Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Batch Size,TTFT Latency,end_latency 

AMD MI300X GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,16,2.2758256473345684,14.616763864003588
AMD MI300X GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,16,2.489681196435898,14.870041463000234
AMD MI300X GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,16,2.4323179617359227,14.411066364002181

AMD MI250 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,16,2.1599140379267436,22.863321285366208
AMD MI250 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,16,2.1736202720707904,21.936444972700215
AMD MI250 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,16,1.9624839581549167,21.10841013296837

Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,16,0.4216477160962919,13.168710388265511
Nvidia H100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,16,0.42566500790417194,11.024687729899984
Nvidia H100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,16,0.42516071242280307,11.292688895500032

Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,16,0.3566369306606551,12.195721102005336
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,16,0.3781235009199008,10.66363345400896
Nvidia GH200 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,16,0.36953612103437383,11.045635434133631

Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,1,16,1.6275303363800049,26.02431893348694
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,1,16,2.4138548374176025,25.904682874679565
Nvidia A100 GPU,1,Deepspeed-MII,mistralai/Mistral-7B-v0.1,1024,1,16,1.6925108432769775,24.70716118812561

Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,16,1.029996186029166,25.050500875338912
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,16,1.0420479719759896,19.914405192248523
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,16,1.0323134109494276,20.104606724344194

Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,16,0.9668681621551514,22.855718314647675
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,16,1.050133466720581,20.199362337589264
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,16,1.0446186065673828,19.286153495311737

SambaNova SN40L,8,sambaflow,meta-llama/Llama-2-7b-hf,1024,1,16,2.85,7.90352146647371
SambaNova SN40L,8,sambaflow,meta-llama/Meta-Llama-3-8B,1024,1,16,0.42,3.5425630824450263
SambaNova SN40L,8,sambaflow,mistralai/Mistral-7B-v0.1,1024,1,16,0.5,3.6948334573664385

Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,16,0.38651649951934813,11.6332617521286
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,16,0.405424165725708,10.157163405418396
Nvidia H100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,16,0.4019413948059082,9.701072549819946


Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,16,0.3281266689300537
Nvidia GH200 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,16,0.35003018379211426
Nvidia GH200 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,16,0.3479674577713013
