Model Name,throughput,latency,batch size,tensor_parallel,input length,output length

neuralmagic/Meta-Llama-3-8B-Instruct-FP8,350.0580347244047,0.7313073108050351,1,1,128,128
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,350.01524348525015,1.4627934340853244,1,1,256,256
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,353.46933600347313,2.896998114682113,1,1,512,512


neuralmagic/Meta-Llama-3-8B-Instruct-FP8,349.3807836768942,0.7327249006251805,1,1,128,128
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,355.77514396256356,1.4391112158579442,1,1,256,256
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,355.735263598181,2.878545100203094,1,1,512,512
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,349.8578213184943,5.853806532841797,1,1,1024,1024
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,354.51064269234104,11.553954964208726,1,1,2048,2048
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,4655.418166759656,0.8798350337776355,16,1,128,128
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,4509.906862936881,1.8164454941016932,16,1,256,256
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,4239.4571162023285,3.8646457673516124,16,1,512,512
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,3773.774214157791,8.683084397860027,16,1,1024,1024
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,3076.3136039672913,21.303419753916874,16,1,2048,2048
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,7762.2700141411115,1.0553613807656803,32,1,128,128
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,7548.676376373555,2.17044673570587,32,1,256,256
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,6939.8956684575705,4.721684815657015,32,1,512,512
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,5945.168826780138,11.02340436570812,32,1,1024,1024
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,4752.146612562271,27.5816406113212,32,1,2048,2048
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,11407.079887942045,1.4363009780722982,64,1,128,128
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,10617.369463102807,3.086263515070702,64,1,256,256
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,9400.39326886797,6.97162322102425,64,1,512,512
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,7649.005858843661,17.135821624251548,64,1,1024,1024
neuralmagic/Meta-Llama-3-8B-Instruct-FP8,5706.35726887531,45.938939265130706,64,1,2048,2048
