Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,1,0.764302422463273,334.94594871875023
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,1,1.5282958965205278,335.013658785364
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,1,3.060278880572878,334.61002737381546
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,1,6.1578085844405,332.5858496437953
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,1,12.319483528666508,332.4814705477642
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,16,0.9077466402513286,4512.272277720507
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,16,1.8847546639153734,4346.454292879695
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,16,3.999132735740083,4096.888271193619
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,16,8.920741600496694,3673.2372113743913
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,16,21.588239136796133,3035.7269800804174
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,32,1.0566517212117712,7752.791043207114
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,32,2.2209557010869805,7377.004409399674
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,32,4.824113713973202,6792.543033363087
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,32,11.156039299055314,5874.486297798318
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,32,28.430863440735266,4610.20117356697
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,64,1.437124534890366,11400.542960774019
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,64,3.0556900511185328,10723.600709438871
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,64,6.907179521839135,9488.098549167304
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,64,16.964374436585544,7726.309065504282
Nvidia H100 GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,64,45.96532624655713,5703.081461749332
