Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,1,5.742018807999557,44.58362268743369
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,1,9.42390922299819,54.32989515120866
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,1,20.112019655003678,50.914826932621786
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,1,38.974800466006855,52.54677318454087
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,1,76.8330020760186,53.310425069001155
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,16,4.741978014993947,863.7745656029214
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,16,9.610657787008677,852.3870250664461
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,16,19.76542916201288,828.9220469590593
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,16,40.03917159300181,818.3985506265396
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,16,85.9166627189843,762.7856800531785
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,32,5.181787631998304,1580.9216011503809
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,32,10.942790351022268,1497.2415146808892
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,32,24.5354505040159,1335.5369201244794
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,32,58.445524006005144,1121.3176905260757
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,32,155.97222331399098,840.3547581426482
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,64,5.815107892995002,2817.488566245951
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,64,12.654253500018967,2589.485029674084
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,64,29.892404913000064,2192.396369269664
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,64,77.04261496500112,1701.2922011998596
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,64,223.11471911802073,1174.9292069849232
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,128,7.461963330977596,4391.337580548931
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,128,17.21481486898847,3806.953516419131
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,128,42.48368022800423,3085.2317712720296
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,128,118.85140476198285,2205.644943995246
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,1,5.853921363999973,43.73136980867739
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,1,9.42976496099999,54.29615712772807
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,1,20.05952501400003,51.04806815143058
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,1,38.76483271899997,52.83139011189916
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,1,76.77380580300002,53.35152995424313
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,16,4.744861042000025,863.2497271771481
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,16,9.616325588999985,851.8846334998
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,16,19.751618697000026,829.5016348451726
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,16,40.00273681300007,819.1439539044507
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,16,85.75063217900004,764.2625871631707
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,32,5.17130703600003,1584.1256268427749
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,32,10.921659916999943,1500.138268771557
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,32,24.446655351000004,1340.3878579512761
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,32,58.19492366899999,1126.1463349063647
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,32,155.44954164399996,843.1803568785828
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,64,5.809395821999942,2820.2588534171605
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,64,12.632219906000046,2594.0017070503873
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,64,29.81164197699991,2198.3358062116113
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,64,76.78202147100001,1707.0662830817096
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,64,222.15630521999992,1179.9980186940925
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,128,7.293592332000117,4492.7106573029505
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,128,16.63826487999995,3938.8722605791445
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,512,128,42.37012403199992,3093.5005028781184
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,1024,128,118.24354836499992,2216.983536309323
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,2048,128,371.0643130379999,1412.9302699780476
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,128,256,10.228049151999812,6407.478007395599
AMD MI300X GPU,1,vLLM,neuralmagic/Meta-Llama-3-8B-Instruct-FP8,256,256,24.88505206600007,5267.0976798590245
