Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg,Perplexity
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,45.96582125,1425.755011,484.7581128,2.941168,2.962433764
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.3,1024,32,25.33177585,2587.106422,459.1336758,5.634756,3.058107065
Nvidia A100 GPU,1,vLLM,huggyllama/llama-7b,1024,32,46.03988064,1423.461553,491.7689351,2.894574,3.127153821
Nvidia A100 GPU,1,vLLM,Deci/DeciLM-7B,1024,32,22.17993333,2954.742876,445.9047354,6.626399,3.466269943
Nvidia A100 GPU,1,vLLM,EleutherAI/gpt-j-6b,1024,32,37.84689989,1731.608142,534.0515617,3.242399,3.466849165
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,26.18252838,2503.043215,459.0994773,5.452072,3.718509102
Nvidia A100 GPU,1,vLLM,facebook/opt-6.7b,1024,32,46.85372275,1398.73624,533.8971745,2.619861,4.137426439
Nvidia A100 GPU,1,vLLM,google/gemma-7b,1024,32,57.61030092,1137.574339,498.1652793,2.283528,4.14909482
Nvidia A100 GPU,1,vLLM,Qwen/Qwen1.5-7B,1024,32,52.12324286,1257.327756,520.8793767,2.413856,4.249519568
Nvidia A100 GPU,1,vLLM,BAAI/Aquila-7B,1024,32,48.67534641,1346.390007,547.1054057,2.460933,4.671358786
Nvidia A100 GPU,1,vLLM,bigscience/bloom-7b1,1024,32,48.24021661,1358.53453,524.0503052,2.592374,5.208961746
Nvidia H100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,19.29255694,3396.957708,773.9531077,4.3891,2.962433764
Nvidia H100 GPU,1,vLLM,huggyllama/llama-7b,1024,32,19.31274205,3393.407307,778.2856513,4.360105,3.127153821
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,1024,32,12.32762895,5316.188561,622.459592,8.540616,3.466269943
Nvidia H100 GPU,1,vLLM,EleutherAI/gpt-j-6b,1024,32,18.11637458,3617.500825,764.4364802,4.732245,3.466849165
Nvidia H100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,13.42941459,4880.034016,672.525365,7.256282,3.718509102
Nvidia H100 GPU,1,vLLM,Qwen/Qwen2-7B,1024,32,12.54826211,5222.715258,623.4640709,8.376931,4.019159672
Nvidia H100 GPU,1,vLLM,facebook/opt-6.7b,1024,32,19.41951473,3374.749622,774.7645612,4.355839,4.137426439
Nvidia H100 GPU,1,vLLM,Qwen/Qwen1.5-7B,1024,32,19.68455646,3329.310475,779.079935,4.273388,4.249519568
Nvidia H100 GPU,1,vLLM,BAAI/Aquila-7B,1024,32,19.50761359,3359.508824,783.9212273,4.285518,4.671358786
Nvidia H100 GPU,1,vLLM,bigscience/bloom-7b1,1024,32,19.57130919,3348.57517,770.5730758,4.345565,5.208961746
Nvidia A100 GPU,1,vLLM,google/gemma-1.1-7b-it,1024,32,57.50578251,1139.641913,502.4518596,2.268161,13.89223246
Nvidia A100 GPU,1,vLLM,huggyllama/llama-13b,1024,32,136.7449541,479.2571722,484.3482665,0.989489,2.961462187
Nvidia A100 GPU,1,vLLM,facebook/opt-13b,1024,32,139.3894218,470.1648027,487.9164336,0.963617,3.870206999
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-13b-hf,1024,32,136.1555885,481.3316934,490.7043953,0.980899,2.81112044
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,1,0.860721498,297.4248936,358.3613333,0.829958,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,1,1.732882274,295.4615023,375.1774444,0.787525,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,1,3.608803313,283.7505708,374.244027,0.758197,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,7.263120857,281.9724524,390.8280274,0.721474,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,1,14.68449257,278.9337106,407.7778591,0.684033,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,16,1.079980982,3792.659379,410.04925,9.249278,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,16,2.293681644,3571.550577,438.9485417,8.136604,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,16,5.08068641,3224.76112,458.8996111,7.02716,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,12.1957211,2686.843994,513.405416,5.233377,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,16,32.64236832,2007.697461,578.3195273,3.471606,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,32,1.328467489,6166.503936,420.2771429,14.67247,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,32,3.038512607,5392.111904,448.7643333,12.015464,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,32,6.980479697,4694.233265,497.5148889,9.435362,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,18.03559558,3633.703124,555.4698791,6.541674,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,32,52.23611752,2509.221707,620.413589,4.044434,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,64,1.910416418,8576.140702,424.658,20.195406,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,64,4.274438979,7666.035276,468.641587,16.357992,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,64,10.660266,6147.688999,524.4428182,11.722325,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,29.80727017,4397.316469,594.6471433,7.394833,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,64,109.83406,2386.727761,614.1685337,3.886112,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,1,0.86626409,295.5218887,351.1635556,0.841551,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,1,1.762737266,290.4573528,361.2263333,0.804087,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,1,3.603772992,284.1466436,368.2722432,0.771567,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,7.230190237,283.2567239,384.2999315,0.737072,2.962433764
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,1,0.948009252,270.0395586,372.0158,0.725882,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,1,1.887149566,271.3086494,385.7273,0.703369,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,1,3.784317225,270.5904233,391.1724103,0.691742,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,7.540136943,271.613104,395.5623506,0.686651,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,1,15.29771106,267.7524752,404.1298377,0.662541,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,16,1.105748634,3704.277694,407.6444167,9.087032,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,16,2.278965984,3594.61267,418.40875,8.591151,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,16,4.905629998,3339.836067,422.8836531,7.897766,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,10.66363345,3072.873814,428.2049907,7.176175,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,16,25.04547399,2616.680364,430.9093123,6.072462,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,32,1.285767461,6371.292048,424.7012857,15.00182,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,32,2.677100708,6120.053665,411.5595172,14.870398,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,32,5.787154458,5662.195512,442.5350172,12.79491,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,13.08007768,5010.367797,446.9350301,11.210506,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,32,31.81401367,4119.945422,466.2061975,8.837174,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,64,1.671736606,9800.586971,400.5943,24.465118,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,64,3.626109534,9036.682343,419.9134737,21.520344,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,64,7.975813434,8216.842149,439.7395366,18.685702,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,19.29438244,6793.272624,456.2539072,14.889237,3.718509102
Nvidia GH200 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,64,50.57271673,5183.506384,475.1309396,10.909638,3.718509102
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,128,1,0.977487373,261.8959662,348.2295,0.752079,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,256,1,1.934960524,264.6048814,361.45875,0.732047,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,512,1,3.86747356,264.7723337,367.8674103,0.719749,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,1024,1,7.759561803,263.9324297,370.8783205,0.711642,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,2048,1,15.58515761,262.8141532,373.9133987,0.702874,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,128,16,1.072722583,3818.321778,395.6170909,9.651559,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,256,16,2.200378711,3722.995482,398.8572174,9.334156,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,512,16,4.611204101,3553.084973,396.0436596,8.971448,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,1024,16,10.23109073,3202.786573,390.9732451,8.191831,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,2048,16,22.08702764,2967.171548,394.0640224,7.529669,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,128,32,1.285643099,6371.908352,393.2014286,16.205201,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,256,32,2.645427501,6193.327919,398.9706207,15.523268,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,512,32,5.562570753,5890.801476,390.5018305,15.085208,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,1024,32,12.4089598,5281.345179,390.9387109,13.509394,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,2048,32,29.70836161,4411.95653,389.2544381,11.334377,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,128,64,1.691647316,9685.23394,414.2269412,23.381468,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,256,64,3.467762471,9449.320787,413.1174444,22.873207,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,512,64,7.334878331,8934.844866,415.6217895,21.497537,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,1024,64,16.88454754,7762.83757,413.2227151,18.786086,4.019159672
Nvidia GH200 GPU,1,vLLM,Qwen/Qwen2-7B,2048,64,42.19603859,6212.526312,400.421972,15.514949,4.019159672
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,1,15.73628044,130.1451132,397.4692403,0.327434,2.962433764
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,16,26.13545728,1253.775652,506.7423711,2.474188,2.962433764
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,32,44.72714329,1465.240013,528.0441697,2.774844,2.962433764
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Llama-2-7b-hf,1024,64,90.94797015,1441.17565,536.0005888,2.688758,2.962433764
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,1,17.08862042,119.845836,403.8974759,0.296723,3.718509102
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,16,26.03937054,1258.402155,486.6427843,2.585885,3.718509102
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,32,37.60506272,1742.744068,510.7310081,3.412254,3.718509102
Nvidia A100 GPU,1,Deepspeed-MII,meta-llama/Meta-Llama-3-8B,1024,64,58.92530084,2224.375576,543.6036752,4.091907,3.718509102
Nvidia A100 GPU,1,Deepspeed-MII,mistralai/Mistral-7B-v0.1,1024,1,16.29205513,125.7054425,393.5438239,0.319419,3.058107065
Nvidia A100 GPU,1,Deepspeed-MII,mistralai/Mistral-7B-v0.1,1024,16,24.78806281,1321.926616,482.9899342,2.736965,3.058107065
Nvidia A100 GPU,1,Deepspeed-MII,mistralai/Mistral-7B-v0.1,1024,32,36.00966907,1819.955631,510.3498254,3.566094,3.058107065
Nvidia A100 GPU,1,Deepspeed-MII,mistralai/Mistral-7B-v0.1,1024,64,56.37556076,2324.979091,543.4326797,4.27832,3.058107065
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,128,1,0.975019376,262.5588848,575408.2,0.456300214,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,256,1,1.950589637,262.484733,584077.6,0.449400444,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,512,1,3.891758125,263.1201547,587538.2308,0.447834951,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,1024,1,7.81839533,261.9463347,590765.1899,0.443401777,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,2048,1,15.74732748,260.1076281,597510.0318,0.435319265,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,128,16,1.127029787,3634.331628,615296.5,5.906634651,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,256,16,2.327035268,3520.359194,616752.125,5.707899577,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,512,16,4.961230074,3302.406814,611026.0204,5.404690968,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,1024,16,10.73743651,3051.75262,604777.5278,5.046074762,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,2048,16,23.20617972,2824.075346,613374.1931,4.604163946,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,128,32,1.290492913,6347.962021,601788.3571,10.5484959,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,256,32,2.662293376,6154.092613,613506.3929,10.03101628,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,512,32,5.67914611,5769.881487,614188.5862,9.394315714,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,1024,32,12.55752158,5218.864215,619326.619,8.426675125,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,2048,32,29.75958078,4404.363119,619768.46,7.106465403,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,128,64,1.58188679,10357.25192,613376.9412,16.88562323,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,256,64,3.425434035,9566.087002,616244.4286,15.52320242,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,512,64,7.324129625,8947.957417,626546.3108,14.2813983,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,1024,64,16.69396027,7851.462318,631419.1071,12.43462896,3.466269943
Nvidia H100 GPU,1,vLLM,Deci/DeciLM-7B,2048,64,41.45386862,6323.752372,636450.4293,9.93597,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,128,1,0.775399969,330.1521927,715008.25,0.461745991,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,256,1,1.545045358,331.3818571,724946.5625,0.457112116,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,512,1,3.073609888,333.1587408,727032.1935,0.458244826,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,1024,1,6.168946312,331.9853823,730455.2857,0.45449104,3.466269943
