Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,1,1.5151852369308472,168.9562396466801
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,1,3.0554789900779724,167.567835243709
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,1,6.20258367061615,165.0924928028062
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,12.791291356086731,160.10893216230744
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,1,27.03029900789261,151.53365483689262
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,1.8080974817276,2265.3645842625456
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,3.9291667342185974,2084.9204307511177
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,9.068403959274292,1806.7126336210486
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,22.855718314647675,1433.6893528741027
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,87.21258574724197,751.4511746038045
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,32,2.1091787815093994,3883.9761104260347
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,32,4.781521677970886,3426.524253875768
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,32,11.858430564403534,2763.2661693329396
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,44.93795162439346,1458.3664281757203
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,32,176.40787863731384,743.0053635499906
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,64,2.6790168285369873,6115.676402431302
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,64,6.469397127628326,5065.077835469456
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,64,23.7696972489357,2757.1238839793978
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,90.71978312730789,1444.8006320304523
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,64,420.3680366873741,623.605928904046
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,1,0.9646787643432617,265.37331333739974
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,1,1.9561794996261597,261.73467214938455
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,1,4.031977295875549,253.96968406729013
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,8.361226081848145,244.94015350764386
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,1,18.074980437755585,226.61158688969573
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,1.221044135093689,3354.5061003759047
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,2.610589551925659,3137.988503002053
