Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,12.79129136,160.1089322,5540372.069,432.8356589,55835800,2.89E-05,0.369907,2.87E-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,1.808097482,2265.364584,764229.1266,423.9432632,8054922,0.002964248,5.343556,0.00028124
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,3.929166734,2084.920431,1671540.523,428.36845,17134738,0.001247305,4.867119,0.000121678
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,9.068403959,1806.712634,3948100.305,438.6056264,39913112,0.000457616,4.119219,4.53E-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,22.85571831,1433.689353,10551279.92,460.7109261,105963513,0.000135878,3.111907,1.35E-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,87.21258575,751.4511746,43218709.04,495.045508,432669774,1.74E-05,1.517944,1.74E-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,44.93795162,1458.366428,21691119.01,481.9788891,217372479,6.72E-05,3.025789,6.71E-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,90.71978313,1444.800632,39485273.73,506.8445513,395338750,3.66E-05,2.850579,3.65E-06
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,13.99600905,146.3274275,5759659.024,414.3534357,58009481,2.54E-05,0.353146,2.52E-06
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,1.92489481,2127.908486,790572.0428,415.77325,8315465,0.002691606,5.117954,0.000255898
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,3.992574036,2051.809165,1654888.228,424.1251,16965004,0.001239848,4.837745,0.000120944
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,8.535608292,1919.488271,3684267.988,433.5894535,37288693,0.000520996,4.426972,5.15E-05
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,19.2861535,1699.042788,8906207.927,461.2811392,89488541,0.000190771,3.683313,1.90E-05
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,16,47.4207412,1382.011296,23635462.45,498.6360547,236852126,5.85E-05,2.771583,5.83E-06
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,23.23364198,2820.737276,11732794.94,503.497735,117818470,0.000240415,5.602284,2.39E-05
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,32.42965001,4041.733413,17973848.22,552.9270092,180254205,0.000224867,7.309705,2.24E-05
