Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,speculative model,num speculative tokens,Latency,Throughput,speculative_decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,64,JackFram/llama-68m,3,5.719833324663341,2864.4191307732435,With Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,64,None,None,3.2083120895549655,5106.735112628234,Without Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,64,JackFram/llama-68m,3,13.597492717206478,2409.8560434259225,With Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,64,None,None,7.724056828767061,4242.330258104864,Without Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,1,JackFram/llama-68m,3,1.1934487484395504,214.50439353572852,With Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,1,None,None,1.654349934309721,154.74356101498938,Without Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,1,JackFram/llama-68m,3,2.5504006082192063,200.75277521106744,With Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,1,None,None,3.3697802694514394,151.9386900806288,Without Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,1,JackFram/llama-68m,3,5.343933752737939,191.61914188688405,With Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,1,None,None,6.9328052727505565,147.7035571768963,Without Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,JackFram/llama-68m,3,13.260074698366225,154.44860203180713,With Speculative Decoding
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,None,None,13.951055821031332,146.79892520483097,Without Speculative Decoding
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,128,1,JackFram/llama-68m,3,3.2420720886439085,78.9618469301463,With Speculative Decoding
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,128,1,None,None,1.3189545208588243,194.0931214469079,Without Speculative Decoding
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,256,1,JackFram/llama-68m,3,5.644384818151593,90.70961964773838,With Speculative Decoding
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,256,1,None,None,2.625839764252305,194.98524128176933,Without Speculative Decoding
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,512,1,JackFram/llama-68m,3,12.136124114505947,84.37619707399361,With Speculative Decoding
Nvidia A100 GPU,4,vLLM,meta-llama/Llama-2-70b-hf,128,16,None,None,5.120926672592759,799.8552336087578,Without Speculative Decoding
